"CasinoManufacturerId,""CasinoManufacturerName"",""FromDate"",""ToDate"",""LatestFlag"""
89,GoldenHero,2021-06-17 11:03:35.917,2024-09-10 13:51:43.303,0
89,Golden Hero,2024-09-10 13:51:43.303,,1
90,Kalamba,2021-06-17 11:03:35.527,,1
91,Oryx,2021-06-17 11:03:35.353,,1
92,Gamomat,2021-06-17 11:03:34.100,,1
93,Arcadem,2021-06-24 12:10:18.110,,1
94,Peter&Sons,2021-06-24 12:10:18.140,2022-11-08 08:04:45.910,0
94,PeterAndSons,2022-11-08 08:04:45.910,,1
95,InstantWin,2021-08-31 14:29:56.470,,1
96,FortuneFactoryStudios,2021-08-31 14:29:56.550,2024-07-16 10:03:47.553,0
96,Fortune Factory Studios,2024-07-16 10:03:47.553,2025-05-12 10:19:05.283,0
96,FortuneFactorStudios,2025-05-12 10:19:05.283,,1
97,EGT,2021-11-11 08:52:31.013,2022-07-19 10:25:35.113,0
97,Amusnet,2022-07-19 10:25:35.113,2023-07-03 08:44:25.513,0
97,Amusnet Interactive,2023-07-03 08:44:25.513,2025-05-13 08:25:26.817,0
97,AmusnetInteractive,2025-05-13 08:25:26.817,,1
98,Betixon,2021-11-25 11:58:29.380,,1
100,SpearheadStudios,2022-02-17 08:15:26.010,2025-02-03 07:01:20.080,0
100,Spearhead Studios,2025-02-03 07:01:20.080,,1
101,Hacksaw,2021-12-23 10:31:02.187,,1
102,FantasmaGames,2022-01-07 12:12:01.040,,1
103,AtomicSlotLab,2022-02-01 13:17:35.600,2024-04-29 08:28:54.233,0
103,Atomic Slot Lab,2024-04-29 08:28:54.233,,1
104,Endorphina,2022-03-17 12:52:21.637,,1
105,O2X,2022-03-29 09:51:20.343,,1
106,BlueGuru,2022-04-21 09:57:40.313,2024-06-27 07:59:41.500,0
106,Blue Guru,2024-06-27 07:59:41.500,,1
107,LadyLuckGames,2022-05-10 12:10:08.427,,1
108,Fazi,2022-06-16 10:25:31.113,,1
109,JVL,2022-05-24 11:20:57.610,,1
110,BigWaveGaming,2022-07-14 11:51:11.397,,1
112,BFGames,2022-07-21 10:46:07.513,2024-05-09 09:22:31.310,0
112,BF Games,2024-05-09 09:22:31.310,,1
113,MascotGaming,2022-07-26 10:02:41.817,,1
114,Rabcat,2022-08-09 09:52:19.257,,1
115,OldSkoolStudios,2022-08-09 09:52:19.273,,1
116,GoldCoinStudios,2022-08-09 09:52:19.290,2024-05-01 13:05:09.180,0
116,Gold Coin Studios,2024-05-01 13:05:09.180,,1
"117,""2By2Gaming"",2022-08-25 12:15:36.583,,1"
118,AlchemyGaming,2022-08-25 12:15:36.583,2024-08-16 12:15:16.613,0
118,Alchemy Gaming,2024-08-16 12:15:16.613,,1
119,All41Studios,2022-08-25 12:15:36.583,,1
120,Aurum,2022-08-25 12:15:36.583,,1
121,Axial,2022-08-25 12:15:36.583,,1
122,BuckStakesEntertainment,2022-08-25 12:15:36.583,,1
123,CircularArrow,2022-08-25 12:15:36.583,,1
124,CrazyToothStudio,2022-08-25 12:15:36.583,2024-04-03 14:22:52.703,0
124,Crazy Tooth Studio,2024-04-03 14:22:52.703,,1
125,ElectricElephant,2022-08-25 12:15:36.583,,1
126,Fantasma,2022-08-25 12:15:36.583,,1
127,Foxium,2022-08-25 12:15:36.583,,1
128,GachaStudios,2022-08-25 12:15:36.583,,1
129,GameburgerStudios,2022-08-25 12:15:36.583,2024-04-08 10:13:40.127,0
129,Gameburger Studios,2024-04-08 10:13:40.127,,1
130,GongGamingTechnologies,2022-08-25 12:15:36.583,2024-05-29 11:13:25.557,0
